NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.0,904.1400000000001,3356.2577333495933,ZOAC (Linear),100
0.005,607.6600000000002,2191.954072449241,ZOAC (Linear),100
0.01,609.0600000000001,2209.2134876084283,ZOAC (Linear),100
0.015,570.9,2048.575110538491,ZOAC (Linear),100
0.02,473.14000000000004,1659.8633566226417,ZOAC (Linear),100
0.025,484.92000000000024,1712.3221512281034,ZOAC (Linear),100
0.03,467.04000000000013,1626.5531878654385,ZOAC (Linear),100
0.035,474.5,1631.2853126126365,ZOAC (Linear),100
0.04,399.6599999999999,1386.3353932282873,ZOAC (Linear),100
0.045,415.5800000000001,1448.0936639074093,ZOAC (Linear),100
0.05,480.6999999999999,1662.7678169186695,ZOAC (Linear),100
0.055,415.00000000000017,1443.1001778417192,ZOAC (Linear),100
0.06,383.8,1284.2485172249944,ZOAC (Linear),100
0.065,393.29999999999995,1331.1247708443173,ZOAC (Linear),100
0.07,299.1199999999999,997.0416224362027,ZOAC (Linear),100
0.075,331.60000000000014,1074.702111456152,ZOAC (Linear),100
0.08,238.53999999999996,751.6280727890321,ZOAC (Linear),100
0.085,297.13999999999993,950.3723297589348,ZOAC (Linear),100
0.09,259.3999999999999,834.2003111002113,ZOAC (Linear),100
0.095,304.0799999999999,971.8442530679107,ZOAC (Linear),100
0.1,280.02,892.491370725396,ZOAC (Linear),100
0.0,520.84,1762.607825282563,ZOAC (Linear),200
0.005,525.92,1777.4726196402069,ZOAC (Linear),200
0.01,518.38,1753.6876937956104,ZOAC (Linear),200
0.015,567.0399999999998,1911.2529522973446,ZOAC (Linear),200
0.02,529.24,1790.1978471532666,ZOAC (Linear),200
0.025,508.74,1718.267201642596,ZOAC (Linear),200
0.03,485.7799999999999,1633.0731898317722,ZOAC (Linear),200
0.035,493.12,1646.3369328631197,ZOAC (Linear),200
0.04,494.74,1653.4938291824833,ZOAC (Linear),200
0.045,548.1199999999999,1787.5413257095058,ZOAC (Linear),200
0.05,524.74,1713.8842520114329,ZOAC (Linear),200
0.055,495.30000000000007,1597.636295324828,ZOAC (Linear),200
0.06,487.6599999999999,1577.7048481351687,ZOAC (Linear),200
0.065,457.38,1464.4112679547563,ZOAC (Linear),200
0.07,390.94,1234.734465576503,ZOAC (Linear),200
0.075,408.9800000000001,1298.5213805027013,ZOAC (Linear),200
0.08,379.21999999999997,1178.4548007502415,ZOAC (Linear),200
0.085,346.64000000000004,1089.0332010394618,ZOAC (Linear),200
0.09,346.8400000000001,1045.313562564946,ZOAC (Linear),200
0.095,393.76000000000005,1174.0855920284512,ZOAC (Linear),200
0.1,318.88000000000005,968.1439545728703,ZOAC (Linear),200
0.0,954.5600000000001,2923.77638697649,ZOAC (Linear),300
0.005,980.96,3003.4738515082895,ZOAC (Linear),300
0.01,945.3,2900.79704590096,ZOAC (Linear),300
0.015,908.8399999999999,2807.435573320815,ZOAC (Linear),300
0.02,915.98,2832.0084123558095,ZOAC (Linear),300
0.025,831.6,2608.5171123635864,ZOAC (Linear),300
0.03,824.5400000000002,2540.657215935825,ZOAC (Linear),300
0.035,798.4600000000002,2474.422643803147,ZOAC (Linear),300
0.04,697.5400000000001,2105.8708417736157,ZOAC (Linear),300
0.045,694.78,2128.097199255575,ZOAC (Linear),300
0.05,667.64,2018.806794129638,ZOAC (Linear),300
0.055,629.3399999999999,1895.2403750441824,ZOAC (Linear),300
0.06,675.3999999999999,2018.5983590222522,ZOAC (Linear),300
0.065,588.0399999999997,1787.2928453777633,ZOAC (Linear),300
0.07,572.3200000000002,1715.3758622411779,ZOAC (Linear),300
0.075,411.5999999999999,1184.1815927945734,ZOAC (Linear),300
0.08,469.8,1405.4865282487026,ZOAC (Linear),300
0.085,481.17999999999995,1348.8870924870716,ZOAC (Linear),300
0.09,451.6400000000002,1341.3974364558776,ZOAC (Linear),300
0.095,406.50000000000006,1160.8875212614714,ZOAC (Linear),300
0.1,387.7999999999999,1094.003414622276,ZOAC (Linear),300
0.0,1000.0,3385.278760186209,ZOAC (Linear),400
0.005,1000.0,3386.2619396807145,ZOAC (Linear),400
0.01,996.42,3375.965636199859,ZOAC (Linear),400
0.015,983.54,3335.3135667007123,ZOAC (Linear),400
0.02,947.0200000000001,3211.9511200446277,ZOAC (Linear),400
0.025,902.96,3071.1086572588306,ZOAC (Linear),400
0.03,905.2,3069.642054552235,ZOAC (Linear),400
0.035,757.7199999999997,2541.0522305294426,ZOAC (Linear),400
0.04,717.3,2366.467161083587,ZOAC (Linear),400
0.045,691.6,2261.6131894087207,ZOAC (Linear),400
0.05,635.8999999999999,2073.7371498206035,ZOAC (Linear),400
0.055,559.8599999999999,1801.2583708131845,ZOAC (Linear),400
0.06,505.66,1633.3224048947334,ZOAC (Linear),400
0.065,475.34,1480.2235440156908,ZOAC (Linear),400
0.07,536.18,1705.4390075231872,ZOAC (Linear),400
0.075,495.6400000000001,1542.7265251589831,ZOAC (Linear),400
0.08,412.26000000000016,1284.5002065105195,ZOAC (Linear),400
0.085,368.04,1101.311357138732,ZOAC (Linear),400
0.09,455.8799999999999,1399.6985263173228,ZOAC (Linear),400
0.095,374.92000000000013,1120.6298452376782,ZOAC (Linear),400
0.1,367.54,1068.5121623011307,ZOAC (Linear),400
0.0,963.62,3181.5605214586153,ZOAC (Linear),500
0.005,992.36,3256.498633255005,ZOAC (Linear),500
0.01,947.52,3126.408551186106,ZOAC (Linear),500
0.015,937.64,3089.033749291518,ZOAC (Linear),500
0.02,925.2200000000001,3059.612278519404,ZOAC (Linear),500
0.025,929.82,3054.6406240789584,ZOAC (Linear),500
0.03,884.6199999999999,2906.7099529467923,ZOAC (Linear),500
0.035,896.22,2928.32425325062,ZOAC (Linear),500
0.04,826.88,2710.0342403555155,ZOAC (Linear),500
0.045,847.4,2750.9120864672373,ZOAC (Linear),500
0.05,851.7199999999998,2764.027997716683,ZOAC (Linear),500
0.055,823.3799999999999,2648.010824716257,ZOAC (Linear),500
0.06,685.12,2174.803978023746,ZOAC (Linear),500
0.065,652.2199999999999,2101.438956047911,ZOAC (Linear),500
0.07,681.9,2162.757780129028,ZOAC (Linear),500
0.075,722.9599999999999,2307.409812347188,ZOAC (Linear),500
0.08,583.74,1779.5819651884315,ZOAC (Linear),500
0.085,565.08,1730.5235326047352,ZOAC (Linear),500
0.09,554.06,1656.19232130016,ZOAC (Linear),500
0.095,454.7,1380.8512382567474,ZOAC (Linear),500
0.1,565.36,1714.2907752928957,ZOAC (Linear),500
0.0,1000.0,3503.382012722216,ZOAC (Neural),100
0.005,986.56,3470.5180233909587,ZOAC (Neural),100
0.01,968.1800000000001,3361.476155594102,ZOAC (Neural),100
0.015,923.5,3203.8123919686905,ZOAC (Neural),100
0.02,841.4000000000001,2879.5748541194325,ZOAC (Neural),100
0.025,846.6199999999999,2867.1843122750083,ZOAC (Neural),100
0.03,688.0199999999996,2346.8912000434602,ZOAC (Neural),100
0.035,630.2999999999998,2136.0100062920037,ZOAC (Neural),100
0.04,595.16,1963.6834335189335,ZOAC (Neural),100
0.045,587.6600000000002,1934.4496027705336,ZOAC (Neural),100
0.05,556.2799999999997,1840.5033472976052,ZOAC (Neural),100
0.055,417.97999999999996,1300.5335581283152,ZOAC (Neural),100
0.06,445.80000000000007,1432.8912346243917,ZOAC (Neural),100
0.065,445.0599999999999,1410.7892719786316,ZOAC (Neural),100
0.07,389.66,1194.3711299164063,ZOAC (Neural),100
0.075,309.15999999999985,934.770076400016,ZOAC (Neural),100
0.08,300.3400000000001,863.8781702176857,ZOAC (Neural),100
0.085,288.44000000000005,852.2193854703835,ZOAC (Neural),100
0.09,301.79999999999995,920.5292457684701,ZOAC (Neural),100
0.095,288.44,835.3863176235329,ZOAC (Neural),100
0.1,199.55999999999995,528.0833457969998,ZOAC (Neural),100
0.0,624.0200000000001,2095.507528382704,ZOAC (Neural),200
0.005,596.02,2005.2925934220007,ZOAC (Neural),200
0.01,551.18,1831.8791805313083,ZOAC (Neural),200
0.015,564.46,1877.7442213194433,ZOAC (Neural),200
0.02,416.9,1341.329799133711,ZOAC (Neural),200
0.025,499.08,1618.3638260438659,ZOAC (Neural),200
0.03,569.7,1836.8312759193393,ZOAC (Neural),200
0.035,455.63999999999993,1449.0815645662956,ZOAC (Neural),200
0.04,459.50000000000017,1426.8363610662473,ZOAC (Neural),200
0.045,360.86,1112.6481049732727,ZOAC (Neural),200
0.05,405.0599999999999,1259.705451839264,ZOAC (Neural),200
0.055,383.6,1161.8727147268733,ZOAC (Neural),200
0.06,351.84000000000003,997.6232121596271,ZOAC (Neural),200
0.065,245.48000000000002,728.5554244608603,ZOAC (Neural),200
0.07,315.78,857.7838159928558,ZOAC (Neural),200
0.075,225.43999999999997,622.4753061404817,ZOAC (Neural),200
0.08,254.76000000000008,696.4412334425232,ZOAC (Neural),200
0.085,239.0600000000001,652.055467954206,ZOAC (Neural),200
0.09,203.96000000000006,535.7018638375712,ZOAC (Neural),200
0.095,196.43999999999994,531.1195474962989,ZOAC (Neural),200
0.1,204.82,537.6299211495367,ZOAC (Neural),200
0.0,438.09999999999997,1480.2840941197385,ZOAC (Neural),300
0.005,480.24,1613.414691957188,ZOAC (Neural),300
0.01,489.65999999999997,1653.057080997277,ZOAC (Neural),300
0.015,508.7399999999999,1705.2701415596111,ZOAC (Neural),300
0.02,500.68,1679.412461144377,ZOAC (Neural),300
0.025,479.72,1570.843167571575,ZOAC (Neural),300
0.03,443.14,1427.937439493882,ZOAC (Neural),300
0.035,466.13999999999993,1503.6032443473262,ZOAC (Neural),300
0.04,383.72000000000014,1229.309746998932,ZOAC (Neural),300
0.045,439.2,1386.2558970601358,ZOAC (Neural),300
0.05,386.73999999999995,1150.0122748272868,ZOAC (Neural),300
0.055,323.7,987.3851283643642,ZOAC (Neural),300
0.06,276.38,824.5983099691343,ZOAC (Neural),300
0.065,291.74,848.5280582181707,ZOAC (Neural),300
0.07,227.89999999999998,667.2342285319211,ZOAC (Neural),300
0.075,238.22000000000006,685.4448245098857,ZOAC (Neural),300
0.08,210.18000000000006,565.4502489995436,ZOAC (Neural),300
0.085,215.88,605.648210953404,ZOAC (Neural),300
0.09,160.3,432.055337351077,ZOAC (Neural),300
0.095,144.00000000000006,381.6129829528835,ZOAC (Neural),300
0.1,143.65999999999997,373.23076683798104,ZOAC (Neural),300
0.0,808.5599999999998,2872.6239540598112,ZOAC (Neural),400
0.005,780.9599999999998,2769.1557869098274,ZOAC (Neural),400
0.01,790.6199999999999,2796.2247532021447,ZOAC (Neural),400
0.015,782.8,2763.3304568446324,ZOAC (Neural),400
0.02,748.9599999999999,2641.9875040652887,ZOAC (Neural),400
0.025,746.3199999999999,2601.480962852615,ZOAC (Neural),400
0.03,720.5999999999999,2480.824596986674,ZOAC (Neural),400
0.035,665.1399999999999,2289.9081214578177,ZOAC (Neural),400
0.04,662.0999999999999,2266.8696445150626,ZOAC (Neural),400
0.045,572.3000000000001,1929.6192249379578,ZOAC (Neural),400
0.05,522.9599999999998,1736.20785556288,ZOAC (Neural),400
0.055,485.56,1574.1880550448718,ZOAC (Neural),400
0.06,440.81999999999994,1433.5145881631213,ZOAC (Neural),400
0.065,417.44000000000005,1357.4394209579877,ZOAC (Neural),400
0.07,457.5199999999999,1464.9796453942038,ZOAC (Neural),400
0.075,401.88,1248.9944780867465,ZOAC (Neural),400
0.08,347.5799999999999,1086.637173910799,ZOAC (Neural),400
0.085,334.00000000000006,989.9965295755061,ZOAC (Neural),400
0.09,311.47999999999996,925.6612792946419,ZOAC (Neural),400
0.095,302.16,885.4042932912122,ZOAC (Neural),400
0.1,258.93999999999994,731.0773185324476,ZOAC (Neural),400
0.0,1000.0,3176.1958523327557,ZOAC (Neural),500
0.005,1000.0,3172.1893698582426,ZOAC (Neural),500
0.01,996.34,3155.2083644001345,ZOAC (Neural),500
0.015,968.2,3068.987352272025,ZOAC (Neural),500
0.02,869.06,2743.4783725946118,ZOAC (Neural),500
0.025,845.0599999999998,2660.046150979679,ZOAC (Neural),500
0.03,833.6,2595.634332014654,ZOAC (Neural),500
0.035,782.64,2446.935811413703,ZOAC (Neural),500
0.04,665.0000000000002,2060.345368028828,ZOAC (Neural),500
0.045,534.26,1670.3289332311433,ZOAC (Neural),500
0.05,500.12,1550.2201695021186,ZOAC (Neural),500
0.055,480.5399999999999,1489.546101230278,ZOAC (Neural),500
0.06,350.34000000000003,1044.936497736565,ZOAC (Neural),500
0.065,352.8799999999999,1057.674162244977,ZOAC (Neural),500
0.07,313.04,892.0446921778282,ZOAC (Neural),500
0.075,276.82000000000005,797.9894004847696,ZOAC (Neural),500
0.08,308.94,883.5654759511226,ZOAC (Neural),500
0.085,299.78000000000003,851.8227441961501,ZOAC (Neural),500
0.09,213.14,574.311029616054,ZOAC (Neural),500
0.095,195.06,543.3009962346862,ZOAC (Neural),500
0.1,182.77999999999994,502.61721848149506,ZOAC (Neural),500
0.0,1000.0,3031.352882627637,ARS (Linear),100
0.005,1000.0,3033.043088905933,ARS (Linear),100
0.01,950.4200000000001,2886.5034722041214,ARS (Linear),100
0.015,927.7200000000001,2807.937467045541,ARS (Linear),100
0.02,728.86,2162.684948423173,ARS (Linear),100
0.025,559.9,1608.8904902107038,ARS (Linear),100
0.03,393.3599999999999,1056.4555726925958,ARS (Linear),100
0.035,329.76,884.824656013498,ARS (Linear),100
0.04,312.90000000000003,833.6668489597414,ARS (Linear),100
0.045,215.60000000000008,509.9565827094118,ARS (Linear),100
0.05,185.40000000000003,433.2886874731857,ARS (Linear),100
0.055,135.4,279.21958865344936,ARS (Linear),100
0.06,113.91999999999996,226.1602890705642,ARS (Linear),100
0.065,136.78,287.12646272272025,ARS (Linear),100
0.07,114.08000000000004,213.39763518075375,ARS (Linear),100
0.075,80.50000000000001,148.8363785350765,ARS (Linear),100
0.08,125.36000000000001,235.92903614867157,ARS (Linear),100
0.085,83.35999999999999,134.36627587039186,ARS (Linear),100
0.09,58.06000000000002,93.10199710797077,ARS (Linear),100
0.095,69.14,123.04374207960868,ARS (Linear),100
0.1,78.32000000000002,146.03825010065512,ARS (Linear),100
0.0,997.18,2166.1362075470456,ARS (Linear),200
0.005,978.28,2123.822213277837,ARS (Linear),200
0.01,826.08,1798.3697088840893,ARS (Linear),200
0.015,669.78,1442.0423684821758,ARS (Linear),200
0.02,572.1799999999998,1209.3384775260618,ARS (Linear),200
0.025,368.46,775.2135285349743,ARS (Linear),200
0.03,302.2,626.9138436962741,ARS (Linear),200
0.035,232.88000000000002,469.22730384633246,ARS (Linear),200
0.04,151.56000000000003,287.81543202744933,ARS (Linear),200
0.045,145.14000000000001,283.42921270042757,ARS (Linear),200
0.05,89.81999999999998,159.04643905145312,ARS (Linear),200
0.055,81.59999999999998,144.98796114404388,ARS (Linear),200
0.06,68.16000000000001,117.39775896208397,ARS (Linear),200
0.065,73.99999999999999,125.26536513530122,ARS (Linear),200
0.07,73.36000000000001,132.92484752304148,ARS (Linear),200
0.075,65.99999999999999,114.10379664785135,ARS (Linear),200
0.08,74.06000000000002,130.68771539845065,ARS (Linear),200
0.085,51.59999999999998,87.16034775996997,ARS (Linear),200
0.09,51.07999999999999,85.7106315743074,ARS (Linear),200
0.095,43.599999999999994,72.18380605854736,ARS (Linear),200
0.1,56.43999999999999,85.6353652894492,ARS (Linear),200
0.0,744.5400000000001,1459.5096959710438,ARS (Linear),300
0.005,727.5000000000002,1421.4613670614558,ARS (Linear),300
0.01,718.2199999999999,1417.2867074408005,ARS (Linear),300
0.015,539.2199999999999,1065.5240614366853,ARS (Linear),300
0.02,431.34000000000003,849.4809829692304,ARS (Linear),300
0.025,313.2000000000001,611.2866511411845,ARS (Linear),300
0.03,229.10000000000002,439.5485794685835,ARS (Linear),300
0.035,205.86,394.0736265299014,ARS (Linear),300
